reference,translation
shite  i dont think theyre very happy,i dont think theyre very happy
if you want to understand animals i mean i mean you must be hunted,if you want to understand game i mean really understand them you better be a hunter
sonia that smells awful,sonio that is a terrible thing
sam dolans father is out of his mind,sam dolans father checks out
theres a guy out there whos fucking serious,this is one very serious boy we have out there
now hes just some nimrod in a suit,now hes just a hunter in a suit
now hes just some nimrod in a suit,now its just some guy in a suit
and especially on that tragic day when he won all the balls of his classmate,and most of all the tragic day the day he won all the marbles
have you had intercourse before,have you already had relations of this nature before
super justice ready to start shooting,super justice get ready for action
hes the coolest guy in the world and then when i come in you die,hes the greatest guy in the world and then i arrived and you clam
youre big and green and scary ill run away,its so big green and scary
what the hell am i doing,what am i talking about
what the hell am i doing,what am i doing
what the hell am i doing,whats on my hoof
what the hell am i doing,what am i  in trouble
what the hell am i doing,what am i doing here
what the hell am i doing,what am i saying
what the hell am i doing,what am i doing i dont know
what the hell am i doing,what am i doing man what am i doing
i can tie you up if you want,if you wish i can tie it for you
i can tie you up if you want,if you want i can tie it for you
just brains,smart
you can go ahead and scream if you like,you can yell if you want
no one ever died from thael for my services and youre damn right not to,weve never lost a patient from theale on my watch sure as hell not going to lose one now
but dont you wanna be something more than just a street thug,but did you ever want to be more than just a street dancer
why the hell didnt he say that,why the deuce didnt he say so in the first place
you ask me i think youd be bored out of your skull but thats just one mans opinion,i think youll get bored there but thats just my opinion
go rip that guys clothes and bring it to me,take the boys clothes and bring it to me
what the hell am i supposed to tell my people,what do i have to tell these people
major sharpe has made her most miserable,major sharpe made her unhappy
so wheres the lair of that putrid night monster,where is the lair of the suspected creature of the night
so wheres the lair of that putrid night monster,where is the lair of the suspected creature ofthe night
you guys wanna smash,you want this
we have a black alert,we have code black pickles
yes i almost forgot that colin only likes tacky women,i forgot just like colin women with quality
whether at the level or in the depths it is clear that these animals are perfect killers,whether it be near the waters surface or deep beneath the waves it is clear that these animals are well honed killing machines
who the hells calling me,who can call me
that saved a wretch like me hey ive got the perfect spot for your banner,hey i got the perfect place for your banner
so how does it work with gay marriage you take his last name or does he take yours or,so how does it work in that registered partnership are you going to use his last name or hes yours or do you somehow connect them
this will be hard on ethan and that breaks my heart but in the long run its better to be raised by two happy parents apart than miserable ones together but if he starts in with that shitting stuff again at school you let me know,for ethan its going to be hard and its tearing my heart out but its better if hes raised two happy parents apart before hes unhappy together
he was cursed to know,he was condemned to know
do i even want to see your legs,do i even wanna look at your feet
when he gets the news he needs hell have enough opportunities to destroy them,he would have plenty of opportunity to destroy the gleaners later after they had given him the information he wanted
its the damndest hideout i ever seen,ive never seen such a hideaway
clean out your ears,clear your ears
i think that freakin can broke my toe,i think the can has broken my finger
he looks like a beatnik,he looks like a beatle
he wanted lavinia only for you and in your interest he was upset to kill his own son,that in the rescue of lavinia with his own hand did slay his youngest son in zeal to you receive him then to favor saturnine
